,Year,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Gabon,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,"Korea, Dem. People's Rep.",Pacific island small states,Post-demographic dividend,South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),British Virgin Islands,World,Kosovo
0,1960,,357.3,,,,,,,,86.3,24.8,42.9,,,33.8,309.2,346.0,262.0,55.4,197.7,,,,,290.7,169.6,84.5,122.5,,166.4,278.2,32.6,,157.1,,318.3,278.6,,193.8,134.9,,181.8,96.0,,54.0,,,,,138.4,25.0,147.2,240.8,,,,,,174.7,317.8,,,,,,,26.8,78.7,28.5,223.2,,208.3,349.5,361.8,,,46.0,101.5,221.9,92.0,208.6,,,290.4,54.1,,,,,223.9,,242.8,35.3,,190.6,21.5,42.0,52.0,82.2,155.2,39.7,,197.2,,,199.2,111.9,141.9,,,,,,,,,,,,,,,,,184.8,,,,208.9,,,,,,,,83.6,,
1,1961,,351.7,,,,,,,,80.4,24.3,40.2,,,32.4,304.4,342.2,256.0,49.0,181.1,,,,,284.4,165.2,78.4,110.1,,161.0,273.2,31.5,,148.5,,310.4,272.5,,186.2,130.5,,179.7,93.3,,52.1,,,,,125.9,24.4,146.1,240.8,,,,,,169.5,307.8,,,,,,,25.2,75.1,27.0,216.6,,206.1,347.3,354.6,,,45.2,93.4,216.4,88.2,201.5,,,285.8,51.2,,,,,217.7,,239.3,33.8,,179.9,21.1,39.6,49.9,78.8,146.3,36.2,,189.1,,,194.3,106.5,132.4,,,,,,,,,,,,,,,,,180.9,,,,205.5,,,,,,,,79.0,,
2,1962,,345.8,,,,,,,,74.0,23.7,37.9,,,31.1,299.4,338.3,250.2,44.2,165.8,,,,,278.1,160.8,73.2,98.3,,156.3,268.0,30.5,,141.9,,302.5,267.6,,179.3,126.2,,177.4,92.5,,50.2,,,,,114.5,23.8,144.5,241.4,,,,,,164.7,297.7,,,,,,,23.8,71.8,25.7,210.0,,204.5,344.8,347.2,,,44.0,85.6,211.1,85.0,194.9,,,281.3,49.1,,,,,211.8,,236.1,32.5,,169.8,20.7,37.3,47.6,75.5,138.0,32.9,,182.1,,,188.7,101.8,123.2,,,,,,,,,,,,,,,,,177.1,,,,202.1,,,,,,,,74.3,,
3,1963,,340.2,,,,,,,,67.4,23.2,35.9,,,30.0,294.3,334.8,245.1,40.7,151.4,,,,,272.0,156.7,68.7,88.0,,151.9,262.9,29.4,,135.6,,294.8,263.1,,172.8,122.3,,175.0,92.5,,48.3,,,,,104.2,23.0,142.6,242.3,,,,,,160.3,287.6,,,,,,,22.5,68.7,24.5,203.7,,203.4,342.2,340.4,,,42.4,78.5,205.9,82.2,188.4,,,276.9,47.6,,,,,206.0,,233.2,31.3,,160.6,20.3,35.4,45.3,72.6,130.1,29.8,,176.2,,,182.8,96.9,114.6,,,,,,,,,,,,,,,,,173.5,,,,198.3,,,,,,,,69.6,,
4,1964,,334.8,,,,,,,,60.8,22.7,34.2,,241.2,28.9,289.1,331.5,240.5,38.5,138.0,,,,,266.0,152.8,64.6,79.5,,147.9,257.5,28.2,,126.9,,287.4,258.3,,166.6,118.5,,172.3,92.0,,46.4,,,,,94.9,22.1,140.3,243.4,,,,,,156.1,278.6,,,,,,,21.3,65.8,23.4,197.4,,202.6,339.5,333.8,,,40.9,72.5,200.9,79.9,182.0,,,272.3,46.2,,,,,200.3,,230.4,30.0,,152.1,19.8,33.6,43.1,69.8,122.9,27.0,,171.1,,,176.4,92.0,106.5,,,,,,,,,,,,,,,,,170.0,,,,194.5,,,,,,,,65.0,,
5,1965,,329.4,,,,,,,,54.5,22.4,32.7,,243.3,27.9,283.9,328.7,236.6,37.4,125.4,,,,,259.9,149.2,61.1,72.9,,144.3,251.7,27.1,,115.4,,280.0,252.7,,160.9,114.9,,169.1,90.2,,44.6,,,,,86.4,21.1,137.8,244.3,,,,,,152.4,270.5,,,,,,,20.2,63.2,22.3,191.4,,202.2,337.0,327.2,,,39.6,67.8,195.9,78.2,175.7,,,268.0,44.6,,,,,229.0,,227.8,28.6,,144.3,19.2,32.2,41.1,67.2,116.3,24.6,,166.9,,,170.0,86.9,98.9,,,,,,,,,,,,,,,,,166.6,,,,190.5,,,,,,,,60.6,,
6,1966,,323.9,,,,,,,,48.6,22.1,31.5,,245.1,27.0,278.9,325.8,233.5,37.1,114.0,,,,,253.8,145.8,58.0,68.0,,140.8,246.3,26.0,,103.8,,272.9,246.1,,155.4,111.4,,165.3,87.7,,42.9,,,,,78.7,20.0,135.0,245.0,,,,,,148.8,263.5,,,,247.9,,,19.2,61.1,21.4,185.5,,202.2,333.9,320.8,,,38.5,64.3,191.0,76.8,169.6,,,263.3,43.2,,,,,188.7,,225.3,27.1,,137.2,18.5,31.2,39.3,64.8,110.2,22.7,,163.3,,,163.6,81.7,91.9,,,,,,,,,,,,,,,,,163.1,,,,186.6,,,,,,,,56.6,,
7,1967,,318.4,,,,,,,,43.3,22.0,30.5,,246.7,26.2,273.9,323.2,231.2,36.7,103.3,,,,110.5,247.6,142.6,55.3,64.0,,136.9,240.4,25.0,,94.0,,265.8,238.2,,150.1,108.0,,161.1,84.9,,41.2,,,,,71.7,19.0,132.2,245.3,,,,,,145.8,258.0,,,,247.2,,,18.4,59.4,20.6,179.8,,202.6,331.1,314.3,,,37.4,61.6,185.9,75.6,163.6,,,258.5,42.0,,,,,183.0,,222.7,25.5,,130.4,17.9,30.3,37.8,62.5,104.4,21.0,,160.1,,,157.3,76.4,85.7,,,,,,,,,,,,,,,,,159.9,,,,182.6,,,,,,,,53.0,,
8,1968,,312.8,,,,,,,,38.8,21.9,29.7,,248.4,25.5,269.2,320.7,229.6,35.6,93.5,29.4,,,106.1,241.6,139.4,52.8,60.7,290.5,132.8,235.0,24.0,,86.7,,258.6,229.6,,145.2,104.6,,156.5,81.9,,39.5,,,27.1,,65.4,18.1,129.4,244.6,,,,,,142.8,253.5,,,,246.7,,,17.6,58.1,19.9,174.4,,202.9,327.9,307.7,,,36.0,59.4,180.9,74.9,157.6,,,253.6,40.9,,,,,177.2,,220.2,24.1,,124.3,17.2,29.6,36.4,60.2,99.1,19.6,,157.0,,,151.5,71.1,80.0,,,,,,,,,,,,,,,,,156.7,,,,178.4,,,,,,,,49.8,,
9,1969,,307.2,,,,,,72.4,,34.9,21.7,29.3,,249.8,24.8,264.6,318.3,228.6,33.9,84.4,29.9,,,101.6,235.4,136.0,50.3,57.5,281.2,128.4,229.7,23.0,,82.1,118.8,251.6,220.7,250.7,140.7,101.1,,151.1,78.5,,37.8,,,26.4,,59.7,17.4,126.5,242.6,,,,,,139.9,249.7,,,,246.7,,,16.8,57.2,19.1,169.0,,203.0,325.0,301.3,,,33.8,57.7,175.8,74.2,151.8,,,248.6,39.8,,,,,171.6,,217.5,23.0,,118.6,16.6,29.1,35.1,58.0,94.2,18.5,,153.8,,,145.9,66.0,74.9,,,,,,,,,,,,,,,,,153.4,,,,174.1,,,,,,,,47.0,,
10,1970,,301.9,,,,,,71.7,,31.7,21.5,29.0,,250.6,24.0,260.0,315.5,273.1,32.3,76.2,30.4,,,97.5,229.1,132.6,47.9,54.0,272.5,123.7,224.6,22.0,,79.9,112.8,244.4,212.2,247.4,136.5,97.5,231.7,145.2,74.8,,36.1,,,25.6,,54.5,16.6,123.5,239.2,,,,,,137.0,246.3,,,,246.3,,,16.1,56.6,18.2,163.9,,202.6,321.7,294.6,,,31.1,56.1,170.7,73.8,146.0,,,243.5,38.6,,,,,166.0,,214.5,22.2,,113.1,16.0,28.6,33.6,55.9,89.5,17.5,,150.5,,,140.8,61.3,70.2,,,,,,,,,,,,,,,,,150.0,,,,169.7,,,,,,,,44.7,,
11,1971,,296.4,,,,,,70.9,,29.0,21.0,28.7,,250.9,23.1,255.4,312.2,373.2,31.1,68.8,30.9,,,93.5,222.7,129.4,45.5,50.1,264.4,119.2,219.8,20.9,,78.8,107.1,236.9,204.9,244.2,132.6,93.9,225.7,138.7,70.1,,34.5,38.2,,24.9,,49.8,15.8,120.1,234.1,,,,,,133.5,242.6,,,,246.0,,,15.4,56.3,17.4,158.9,,201.3,318.5,288.2,,,28.9,54.5,165.6,73.5,140.4,,,238.5,38.0,,,,,160.6,,211.4,21.7,188.8,108.0,15.4,28.1,31.9,53.7,85.1,16.5,85.2,147.0,,,136.2,57.1,65.9,,,,,,,,,,,,,,,,,146.7,,,,164.8,,,,,,,,42.7,,
12,1972,,290.7,,,,,,69.7,,26.8,20.3,28.1,,316.3,22.0,250.8,307.5,227.5,30.2,62.2,31.3,,,89.6,216.3,126.0,43.1,45.9,256.2,114.5,215.4,19.9,,77.8,101.4,229.0,199.1,240.7,129.1,90.1,219.9,132.1,64.6,,32.9,35.4,,24.0,,45.6,14.9,116.5,228.0,,,,,,129.6,238.1,,,,245.5,,,14.6,56.0,16.6,154.1,,199.1,315.4,281.7,,,27.9,52.9,160.5,73.4,134.9,,,233.3,38.3,,,,,155.4,,208.1,21.4,179.7,103.2,14.8,27.7,29.8,51.6,81.0,15.7,83.2,143.3,,,132.2,53.6,61.9,,,,,,,,,,,,,,,,,143.2,,,,159.6,252.8,,,,,,,40.9,,
13,1973,,285.2,,,,,,68.2,,25.0,19.4,26.9,,251.2,20.8,246.0,301.2,226.9,29.5,56.4,31.5,,,85.9,209.9,122.6,40.8,41.7,247.9,110.1,211.0,18.9,,75.5,95.9,220.7,194.8,237.0,125.7,86.2,214.3,125.4,58.3,,31.4,33.0,,23.1,,41.8,13.9,112.7,220.8,,,,,,125.1,232.5,,,,245.2,,,13.9,55.7,15.9,149.4,,195.8,311.9,275.0,,,27.6,51.3,155.5,73.2,129.5,,,227.8,38.7,,,,,150.4,,204.4,21.1,171.0,98.6,14.2,27.2,27.6,49.7,77.2,14.8,81.2,139.5,,,129.1,50.6,58.2,,,,,,,,,,,,,,,,,139.4,,,,154.0,251.4,,,,,,,39.4,,
14,1974,,279.6,,,,,,66.2,,23.5,18.4,25.2,,251.1,19.6,241.1,293.5,225.6,29.0,51.4,31.6,,,82.4,203.4,119.3,38.6,37.6,239.7,105.3,207.2,17.9,,71.1,90.3,212.0,192.2,233.4,122.7,82.2,208.8,118.6,51.7,,29.9,30.5,,22.0,,38.4,13.1,108.7,212.6,,,,,,120.1,225.3,,216.2,,244.8,,,13.1,55.1,15.4,144.7,,191.6,308.4,268.5,,,27.3,49.6,150.5,73.0,148.9,,,222.4,37.9,,,,,145.6,,200.3,20.6,162.3,94.2,13.5,26.5,25.3,47.8,73.5,14.0,79.4,135.6,,,126.7,48.1,54.6,,,,,,,,,,,,,,,,,135.3,,,,148.2,249.8,,,,,,,38.1,,
15,1975,,274.0,,,,,,63.4,,22.1,17.3,23.1,,250.6,18.5,236.0,284.4,223.8,28.6,47.0,31.5,,,79.2,197.0,115.8,36.4,33.8,232.1,99.9,203.5,16.9,,64.3,84.8,203.4,190.7,229.6,119.8,78.1,203.3,112.2,45.3,,28.4,27.8,,20.8,,35.4,12.3,104.7,203.7,,,,,,114.8,216.7,,211.5,,244.2,,,12.3,54.1,15.0,140.3,71.1,186.7,304.4,261.8,,,26.4,47.8,145.6,72.8,119.0,,,216.8,35.4,,,,,141.0,,195.9,20.0,153.5,90.0,12.9,25.3,23.1,46.0,70.0,13.3,77.9,131.4,,311.4,125.0,45.9,51.2,,,,,,,,,,,,,,,,,130.9,,,,142.2,248.4,,,,,,,36.9,,
16,1976,,268.3,,,,,,59.9,86.9,20.8,16.2,21.0,,249.2,17.6,230.9,274.3,221.3,28.0,43.2,31.2,,,76.1,190.8,112.3,34.3,30.4,224.4,93.9,200.0,16.0,,56.5,79.5,195.0,189.7,225.9,117.1,74.0,197.6,106.3,39.3,,27.0,24.8,,19.6,172.7,32.6,11.6,100.8,194.1,,,,,,109.5,207.3,,207.0,,243.8,,,11.4,52.8,14.5,135.8,68.6,181.4,300.3,255.1,,,25.2,46.0,161.8,72.4,113.9,,,211.4,32.2,,,,,136.6,,190.9,19.1,144.3,86.0,12.2,23.7,21.1,44.4,66.7,12.5,76.6,127.1,,286.3,123.7,44.1,47.9,,,,,,,,,,,,,,,,,126.3,,,,136.4,246.9,,,,,,,35.7,,
17,1977,,262.4,,,,,,55.7,83.4,19.5,15.2,19.4,,246.2,16.7,226.0,264.2,218.1,27.2,39.9,30.8,,,73.2,184.7,108.7,32.3,27.4,216.5,88.0,196.8,15.1,,48.8,74.5,187.2,188.3,222.3,114.4,69.8,192.1,101.0,33.9,,25.7,22.2,,18.3,167.9,30.2,11.1,97.1,184.3,,,,,,104.7,197.5,,203.0,,243.2,,,10.6,51.0,13.9,131.5,66.1,176.5,295.8,248.5,,,23.8,44.0,136.1,72.0,109.0,,,206.1,29.4,,,,,132.5,,185.6,18.0,135.0,82.3,11.5,21.9,19.5,42.8,63.5,11.8,75.3,122.8,,261.4,122.7,42.2,44.8,,,,,,,,,,,,,,,,,121.4,,,,130.4,245.4,,,,,,,34.5,,
18,1978,,256.4,,,96.4,,,51.2,80.0,18.3,14.4,18.1,,240.7,15.9,221.2,255.0,214.3,26.1,37.0,30.4,,,70.3,179.0,104.7,30.4,24.8,208.7,82.6,193.5,14.2,,42.0,70.1,180.2,186.2,218.7,111.7,65.8,186.4,96.5,29.5,,24.4,20.5,,17.1,163.1,28.0,10.6,93.6,173.8,,,,,,100.1,187.6,,199.3,,242.5,,,9.9,49.0,13.3,127.4,63.7,172.4,291.0,242.1,,,22.4,42.1,131.3,71.4,104.1,,,200.8,27.0,,,,,128.5,,180.1,16.8,125.8,78.9,10.9,20.3,18.1,41.3,60.6,11.1,73.9,118.5,,234.2,121.7,40.3,41.8,,,,,,,,,,,,,,,,,116.4,,,,124.9,243.9,,,,,,,33.3,,
19,1979,,250.3,,,88.7,,,46.8,76.8,17.3,13.6,17.1,,233.0,15.2,216.6,246.9,210.0,24.9,34.5,29.9,,,67.5,173.7,100.6,28.6,22.6,201.4,77.6,190.6,13.3,,36.7,66.1,174.2,183.3,215.2,109.1,61.9,180.7,92.8,26.4,,23.2,19.4,,16.0,158.5,31.4,10.3,90.2,162.5,,,,,,95.6,177.9,,196.0,,241.4,,,9.2,46.8,12.8,123.2,61.4,169.3,286.2,235.9,,,20.9,40.1,126.7,70.9,99.4,,,195.6,25.1,,,,,124.6,,174.5,15.6,116.7,75.7,10.3,19.1,17.0,39.9,57.9,10.5,72.4,114.4,,206.3,120.5,38.3,38.9,,,,,,,,,,,,,,,,,111.1,,,,119.3,242.1,,,,,,,32.0,,
20,1980,,243.8,,238.9,81.3,,,42.9,73.7,16.3,13.0,16.2,,224.0,14.6,212.3,239.8,205.3,23.8,32.3,29.4,,21.1,64.9,168.7,96.3,26.9,20.6,193.8,73.2,188.1,12.5,,33.0,62.7,169.2,179.1,212.0,106.8,58.2,175.0,90.1,24.4,,22.1,18.8,,15.0,154.3,24.5,10.0,86.9,149.9,,,,,,91.3,168.3,,193.0,22.5,239.4,,,8.7,44.5,12.4,119.3,59.3,167.0,281.3,229.5,,,19.4,38.1,122.1,70.3,94.9,,,190.6,23.6,,,,,120.8,,169.0,14.3,107.9,72.7,9.7,18.1,16.1,38.5,55.2,9.9,70.6,110.7,,180.5,119.0,36.2,36.0,,,,,,,,,,,,,,,,,125.0,,,,113.9,240.2,,,,,,,30.7,,
21,1981,,237.3,,236.1,74.8,,,39.4,70.7,15.5,12.5,15.5,,213.7,13.9,208.1,233.8,200.3,22.9,30.4,29.0,,20.2,62.3,164.0,92.0,25.5,19.0,186.2,69.3,185.9,11.8,,29.9,59.9,165.0,173.9,208.9,104.2,54.7,169.4,88.1,23.4,,21.0,18.3,15.4,14.1,149.9,23.0,9.8,83.7,135.3,,,,,,86.9,158.7,,190.3,21.7,236.8,,,8.2,42.4,11.9,115.5,57.2,165.6,276.4,223.2,,,18.1,36.1,117.5,69.6,90.5,,23.6,185.4,22.5,,,,,117.1,,163.8,13.2,99.8,70.0,9.1,17.3,15.2,37.2,52.7,9.3,68.5,107.1,,158.0,117.4,33.9,33.0,,,,,,,,,,,,,,,,,100.5,,,,108.4,237.9,,,,,,,29.3,,
22,1982,,230.8,,233.5,69.0,,,36.5,67.8,14.8,12.2,14.8,110.0,202.8,13.3,204.1,228.6,195.0,22.2,28.7,28.6,,19.4,59.7,159.5,87.8,24.4,17.6,179.0,65.7,183.9,11.2,,27.0,57.7,161.5,167.8,205.8,101.6,51.5,163.8,86.5,22.9,,20.0,17.6,15.0,13.2,145.8,21.8,9.6,80.7,119.0,,,,,,82.3,148.9,,187.6,20.9,233.6,,,7.9,40.4,11.5,111.9,55.1,164.2,271.7,216.9,,200.3,17.1,34.2,134.6,69.0,86.2,,22.1,180.5,22.1,,,,,113.4,,159.0,12.4,92.5,67.5,8.7,16.6,14.3,36.0,50.3,8.8,66.3,104.0,,140.9,115.6,31.6,30.0,,,,,,,,,,,,,,,,,95.1,,,,102.9,235.3,,,,,,,27.8,,
23,1983,,224.2,,230.8,63.7,,,34.1,65.1,14.3,11.9,14.0,107.2,192.1,12.7,200.2,223.8,189.4,21.5,27.3,28.3,,18.7,57.1,155.1,84.0,23.4,16.5,171.8,62.4,182.4,10.6,,24.6,56.0,158.6,161.3,202.8,99.2,48.5,158.6,84.8,22.7,,19.0,16.3,14.7,12.5,141.5,20.7,9.6,77.8,102.3,,,,,,77.9,138.9,,184.7,20.2,229.8,,,7.6,38.5,11.1,108.6,53.3,162.1,267.0,210.4,,196.5,16.2,32.4,108.7,68.3,82.1,,20.8,175.6,21.9,,,,,109.8,,154.5,11.7,86.3,65.2,8.2,15.9,13.5,34.8,48.1,8.3,64.0,101.2,,129.8,113.5,29.2,27.3,,,,,,,,,,,,,,,,,89.9,,,,107.9,232.6,,,,,,,26.4,,
24,1984,,217.7,,228.5,58.9,,,32.1,62.6,14.0,11.6,13.3,104.7,182.8,12.2,196.3,219.3,183.6,20.7,26.1,28.1,29.4,18.1,54.5,150.5,80.4,22.6,15.5,164.8,59.3,181.2,10.1,,23.1,54.8,156.3,154.7,200.1,96.7,45.9,153.3,82.6,22.5,,18.1,14.8,14.4,11.8,137.5,19.7,9.6,75.0,87.2,,,,,,73.6,128.8,,181.7,19.5,225.8,,,7.4,36.9,10.7,105.5,51.8,159.1,262.3,203.8,,192.4,15.4,30.7,104.4,67.6,78.2,,19.4,170.9,21.9,,,,,106.1,,150.3,11.1,80.8,63.1,7.9,15.2,12.7,33.7,45.9,7.9,61.8,99.1,,123.3,111.2,26.9,24.9,,,,,,,,,,,,,,,,,84.8,,,,91.7,229.7,,,,,,,25.1,,
25,1985,,211.1,,226.6,54.8,17.5,,30.6,60.1,13.7,11.3,12.6,102.2,175.9,11.7,192.5,214.7,177.5,19.8,25.0,27.8,27.0,17.6,51.8,145.9,77.1,21.9,14.8,157.9,56.1,180.3,9.8,,22.4,54.1,154.6,148.6,197.7,94.3,43.6,148.4,79.6,22.0,,17.2,13.3,14.2,11.1,133.6,18.9,9.7,72.2,74.7,,,,,,69.5,118.9,,178.3,19.0,221.6,,,7.3,35.3,10.4,102.6,50.6,155.0,257.5,197.3,244.4,188.7,14.6,29.0,100.1,66.7,74.5,,18.2,166.3,21.6,,,,,102.5,,146.2,10.7,76.0,61.2,7.6,14.4,12.0,32.6,43.9,7.5,59.6,97.5,,119.8,108.6,24.6,23.0,,,,,,,,,,,,,35.1,,,,79.9,,,,86.5,226.7,,,,,,,23.8,,147.6
26,1986,,204.6,,225.5,51.1,16.5,,29.6,57.7,13.6,11.0,11.9,100.1,171.2,11.4,188.6,210.3,171.3,18.7,24.2,27.3,24.9,17.0,49.1,141.1,74.1,21.2,14.2,151.2,52.9,179.5,9.4,,22.2,53.8,153.5,143.4,195.4,92.3,41.5,143.6,75.7,21.2,,16.4,12.1,13.8,10.6,129.8,18.2,9.7,69.6,65.3,,,,,,65.8,110.0,,174.4,18.6,217.4,,,7.3,33.9,10.1,100.0,49.6,150.0,252.9,190.8,239.6,185.7,13.7,27.5,95.9,65.9,70.9,,17.0,161.9,20.9,,,,,98.8,,142.2,10.4,71.7,59.4,7.3,13.7,11.3,31.6,42.0,7.1,57.6,96.6,,117.6,105.7,22.4,21.5,,,,,,,,,,,,,34.7,,,,75.3,,,,81.6,223.8,,,,,,,22.6,,137.4
27,1987,,197.9,,224.7,47.9,15.6,,29.1,55.4,13.6,10.6,11.1,98.2,168.9,11.0,184.6,206.2,164.9,17.9,23.7,26.6,23.0,16.4,46.3,136.1,71.3,20.4,13.8,144.6,49.6,179.0,9.1,,21.9,53.8,152.8,139.3,193.2,91.0,39.7,139.1,71.4,20.1,,15.7,11.4,13.4,10.1,126.4,17.6,9.7,67.0,59.1,,,,,,62.5,102.2,,170.0,18.3,213.3,,,7.2,32.6,9.8,97.7,49.0,144.4,248.1,184.5,235.3,183.4,12.8,26.1,91.9,64.8,67.5,,15.8,157.5,19.7,,,,,95.2,,138.2,10.1,67.7,57.8,7.0,13.0,10.8,30.6,40.3,6.8,55.8,96.7,,116.7,102.5,20.4,20.2,,,,,,,,,,,,,35.2,,,,71.0,,,,77.2,220.9,,,,,,,21.5,,128.3
28,1988,,191.4,,224.0,45.2,14.7,,29.0,92.7,13.7,10.2,10.5,96.7,168.3,10.7,180.7,203.0,158.5,17.7,23.4,25.6,21.2,15.9,43.6,131.2,68.6,19.7,13.5,138.5,46.7,178.5,8.8,,21.3,53.9,152.7,136.8,190.9,90.3,38.2,134.8,67.0,18.9,,14.9,11.1,13.0,9.5,123.2,17.1,9.6,64.5,55.3,,,,,,59.5,95.7,,165.0,18.0,209.4,,,7.1,31.4,9.6,95.7,48.5,138.5,243.4,178.3,231.1,181.6,11.9,24.8,87.9,63.7,64.3,,14.7,153.2,18.5,,,,,91.5,,134.2,9.9,63.9,56.4,6.8,12.5,10.4,29.7,38.7,6.6,54.1,97.6,,116.3,99.0,18.6,18.9,,,,,,,,,,,,,36.8,,,,67.1,,,,73.4,217.9,,,,,,,20.6,,119.7
29,1989,,184.9,,223.7,42.8,13.9,,28.9,51.1,13.8,9.7,9.9,95.7,169.1,10.3,176.7,200.6,152.2,17.9,23.2,24.6,19.6,15.5,40.9,126.3,65.9,18.9,13.3,132.5,45.1,178.0,8.5,,20.4,53.9,153.0,135.8,188.6,90.3,36.8,130.6,63.2,17.8,,14.2,11.2,12.6,9.0,120.4,16.7,9.3,62.0,53.1,,,,,,56.7,90.3,,159.3,17.8,205.2,,,6.9,30.2,9.3,94.0,48.2,132.8,238.2,172.4,226.9,180.0,11.1,23.5,84.1,62.3,61.2,,13.7,149.0,17.6,,,,,87.7,,130.3,9.6,60.5,55.1,6.6,12.1,10.0,28.8,37.3,6.5,52.6,99.4,,116.3,95.3,17.0,17.5,,,,,,,,,,,,,39.5,,,,63.4,,,,70.3,214.9,,,,,,,19.8,,111.8
