,Year,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Arab World,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cyprus,Czechia,Germany,Djibouti,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Gabon,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,"Korea, Dem. People's Rep.",Pacific island small states,Post-demographic dividend,French Polynesia,South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),World
0,1991,7.83795113616611,7.942,4.32594235231277,16.668,10.307,11.6738491154699,5.44,1.6,9.59,3.42,0.9,3.195,6.98,1.691,2.431,2.2,11.1,1.144,12.17,17.55,0.6,9.643,2.934,6.254,22.318,4.7,1.382,13.82,5.73,10.32,9.52667237746523,5.681,5.23,2.37,6.564,9.348,3.371,19.98,10.12,4.943,13.749,5.37,11.804020119429,8.321,3.0,2.27,5.32,27.481,9.1,6.904,20.6,2.40868688873773,5.86031664662687,2.46369969199116,4.88439046799974,6.91056787508269,4.354,9.38,8.32525312294762,5.572,1.47,3.326,8.59471293014032,4.49695207027071,6.5,4.659,9.13,17.065,2.7,3.49,4.541,9.523,3.097,7.393,7.57,2.696,3.51,12.171,1.8,4.58,5.1701617832092,11.14,7.352,8.5,4.72221983032838,4.61759571140985,4.10127355043048,2.95846336793198,2.62,4.59468843628304,6.838,15.77,11.1,8.711,2.55,13.39,10.1,6.314,21.211,2.06,0.9,2.86,,0.781,2.41,0.89,5.79257471342007,6.10612901899764,4.52163435895008,4.46352831866113,3.63380395295165,11.2310290948326,4.44450941829729,11.9006376445286,7.16418948696099,6.78195651744217,9.70540523572381,5.47748561129839,2.375,3.88217761731994,6.30233439708147,11.744,6.05018302259992,7.53,6.49854480818548,6.49854480818548,9.87371748821418,20.264,0.662,2.40913619782709,5.93892282349565,5.96038339030349,11.9098022792191,6.05018302259992,6.49854480818548,4.99007834006961
1,1992,7.99172477170547,7.94,4.44591927443973,16.857,30.015,11.9046486960271,6.36,1.8,10.73,3.59,1.8,3.252,6.7,1.51,2.481,2.26,15.3,1.059,14.81,18.511,3.1,9.659,3.032,6.42,22.94,4.792,1.385,16.35,5.859,11.2,10.1368542568215,6.121,4.35,2.37,6.7,9.452,3.513,19.984,9.44,4.543,13.61,3.93,12.285158645742,8.793,2.09,2.6,6.32,27.274,9.03,6.693,24.38,2.37626664978294,5.92595733243769,2.45503918279787,5.3843203875297,7.49886269683037,4.311,8.92,8.95187197612209,5.749,3.68,3.495,9.24709416283726,4.46543714007749,11.6,4.681,10.2,17.69,5.4,4.7,4.579,9.672,3.179,7.619,8.93,2.652,3.84,11.9,1.96,3.06,5.3152123866265,10.937,7.428,9.94,4.76927828471913,4.6695028227915,4.18144582052119,3.04853799347652,2.73,4.67130208994781,6.838,15.02,10.662,8.439,4.31,14.08,9.32,6.468,19.921,2.16,1.0,3.03,,0.766,2.51,0.882,5.87956732101923,6.08538235686854,4.61042773618518,4.52938428750581,3.63683145779582,11.3625651211601,4.50756010092896,12.0667409442882,7.87676046877018,7.26101887324299,10.2126935429405,5.5561618723728,2.41,3.88683931927124,6.91826490919073,11.854,6.04263479761528,7.88,6.63794389226709,6.63794389226709,10.3436584522851,20.766,0.649,2.37581429356082,6.35801005522718,5.92273761500576,12.078749190572,6.04263479761528,6.63794389226709,5.14294219285056
2,1993,7.98038176797268,7.945,4.59028710177184,17.46,25.258,12.6295252651935,10.1,5.3,10.88,4.25,4.5,3.381,8.08,1.517,2.38,2.323,16.4,0.963,12.72,19.451,8.5,9.78,3.051,6.03,24.54,4.889,1.39,18.772,5.926,11.38,11.3952042262289,7.073,4.49,2.69,5.88,9.597,3.624,20.07,7.8,4.609,13.393,3.95,12.1298692981861,9.283,2.7,4.32,7.68,28.08,10.72,6.323,26.23,2.62651170805271,6.08887350903394,2.71184828593397,6.07470875301526,8.62770006319701,4.384,10.92,10.7197781620088,5.824,6.54,3.289,10.8071727189968,4.49442876072686,16.2,4.731,11.32,17.78,5.4,5.224,4.546,9.72,3.243,7.78,10.18,2.612,5.53,11.645,1.96,3.098,5.31352222891997,10.712,7.607,12.1,5.00752293454523,4.88526494253121,4.29416727401024,3.35615704641472,2.78,4.697656647074,6.838,15.57,10.554,8.445,5.26,12.74,10.21,6.314,19.7,2.54,1.11,3.156,,0.754,2.88,0.8,5.94312616608456,6.09156878752686,4.63371985804554,4.7542333920868,3.88406058488519,11.9730839221775,4.74823355155253,12.848511314069,7.3542588188891,7.72802280879072,10.8926601801369,5.65124144673985,2.514,3.94971035738271,7.51617528142089,11.893,6.04778606497257,9.94,6.68388580030394,6.68388580030394,10.7781034305105,21.754,0.7,2.62802844271963,6.97792813972858,5.9191187346819,12.8656075647145,6.04778606497257,6.68388580030394,5.42346239812151
3,1994,7.84137246476089,7.947,4.62285416980073,17.483,20.84,12.7500671178108,11.76,6.6,9.72,3.54,6.3,3.347,9.65,1.495,2.58,2.385,12.8,1.094,13.83,20.289,12.8,11.1,3.08,6.577,22.98,4.985,1.391,21.2,5.953,10.4,11.2442296860213,7.251,5.87,2.9,5.074,9.203,3.555,20.403,8.25,4.602,12.915,4.05,11.8049189893287,8.812,2.7,4.3,8.73,27.957,8.04,6.282,27.74,2.92283063882533,6.36785085970368,2.98023623009582,7.67972748014085,9.62772862560671,4.389,10.93,11.7680040432904,5.874,7.56,3.1,11.4843966700434,4.59812677335804,16.43,4.643,12.59,17.836,8.4,5.911,4.482,9.893,3.275,7.894,9.81,2.595,7.6,11.57,1.9,3.137,5.25890678544867,10.333,8.006,10.85,5.39775104205575,5.21434412874935,4.33687948479682,3.54585875911367,4.37,4.67708895295588,6.83,14.54,10.41,8.309,5.33,9.93,11.09,6.416,16.929,2.89,7.54,3.116,,0.986,2.48,0.7,6.49002908948296,6.69815667897428,4.61633372063849,5.0744081111635,4.28490029668031,11.9511586203822,5.09176949221111,12.9459228217923,6.55099918929586,7.80960350660706,11.2093862099066,5.62433043292101,2.624,3.92587903168341,7.50991907390526,12.064,6.0318355416323,7.68,6.61077751713387,6.61077751713387,10.9161413559686,21.73,0.708,2.92685953684002,8.35175921635767,6.57590427149187,12.9655195386457,6.0318355416323,6.61077751713387,5.67814364721843
4,1995,7.56212953503767,7.942,4.61133475862421,16.924,14.611,13.2111204221529,18.8,6.7,8.47,4.35,7.2,3.391,9.34,1.32,2.53,2.448,11.1,1.129,10.83,21.066,17.7,12.48,2.665,7.09,19.66,5.081,1.393,21.393,5.877,9.49,10.7203465633113,6.999,4.7,3.0,4.1,8.807,3.388,20.351,8.72,4.764,12.838,5.18,11.0125067296309,8.27,2.6,4.02,8.16,28.217,6.99,6.444,31.84,3.00543202150033,6.72918534761675,3.05336386454225,8.99278399577056,9.90683042147485,4.386,11.04,11.4490496589773,5.702,9.66,2.953,11.0502785271467,5.1003680310703,17.0,4.691,11.83,17.335,7.6,6.495,4.42,10.046,3.223,7.907,10.12,2.59,7.9,11.597,3.22,3.24,5.0404901609411,9.996,7.58,10.17,5.75185405436051,5.49426135148588,4.27025655757462,3.62861937865738,4.613,4.5452201839964,6.998,11.97,9.866,8.502,5.2,8.78,11.66,6.404,14.6,3.15,10.98,2.949,,0.971,2.06,0.696,7.81313907542799,7.92525874252656,4.49320199204921,5.367064793564,4.45174860067716,12.226193273019,5.41360362607322,13.3552805947088,6.03425869830149,7.57806954234994,11.5631300581399,5.46742496512846,2.646,3.99861321005943,7.38041287842228,12.018,6.16054790187639,7.65,6.43513489094469,6.4351348909447,10.9716437910804,21.65,0.756,3.01028188936283,9.33337432170665,7.86585695758246,13.3769921512151,6.16054790187639,6.4351348909447,5.82791260617844
5,1996,7.44447110273865,7.934,4.51458149354369,15.967,13.931,12.222114301674,17.11,9.3,8.51,5.28,8.1,3.399,9.48,1.273,2.428,2.51,12.5,1.258,11.46,21.838,24.4,13.82,2.375,8.03,14.71,5.174,1.395,21.59,5.82,9.62,10.0804362924237,6.928,7.41,3.12,4.019,8.06,3.216,20.136,11.81,4.912,12.777,6.16,10.9051786453419,7.61,3.1,3.89,8.82,28.011,6.84,6.491,28.32,3.1099111105709,6.67381929021089,3.16125207897278,9.90762594204464,10.2503400578725,4.399,9.0,11.6593401970915,5.603,9.92,3.065,11.0814033743107,5.37068998510775,15.57,4.664,12.37,17.277,11.5,7.108,4.45,10.106,3.079,7.934,10.4,2.638,8.28,11.575,2.83,4.37,4.98563105458669,9.68,7.33,10.02,5.88463059510367,5.60735313218576,4.30549774783895,3.7491488577724,4.86,4.54624614287885,7.165,11.69,9.1,8.593,3.6,8.46,11.86,6.698,13.7,3.38,12.96,2.834,,0.96,2.05,0.7,8.06407487535031,8.30941983049033,4.45167704727102,5.48340669369531,4.6405147100139,11.207552612923,5.53683456911143,12.2290925332896,5.86551568111373,7.52769287965955,11.679344378785,5.30746655285773,2.683,4.03116567132863,7.55711460108804,11.985,6.27406528126758,7.68,6.32478390702489,6.32478390702489,11.0284437056693,22.076,0.686,3.11565940526828,9.93317338237021,8.28168188114737,12.2420822150476,6.27406528126758,6.32478390702489,5.91437501485345
6,1997,7.38564671903989,7.932,4.47092693388607,15.84,16.876,11.7345282312356,14.82,10.8,8.37,5.15,9.1,3.307,8.95,1.1,2.394,2.7,13.7,1.202,9.76,22.699,17.1,12.68,2.08,9.0,14.61,5.273,1.397,20.976,5.746,9.1,9.2129476935659,6.72,7.14,3.23,3.92,7.829,3.246,19.944,12.14,4.589,13.001,5.68,10.6397396814074,7.1,3.4,4.79,9.86,27.99,5.4,6.32,25.43,3.20225416979429,6.60959728594907,3.25052778857386,10.953653858203,10.5039020638144,4.398,8.37,11.6613221019766,5.685,10.33,3.168,10.9045618277304,5.46612406464678,14.97,4.753,12.57,17.097,11.5,7.647,4.395,9.862,3.031,7.941,10.47,2.623,9.67,11.596,2.22,3.32,4.89313701250043,9.71,6.966,8.99,6.02115174554526,5.71199527169093,4.27280964619491,3.72281548117288,4.68,4.5133950345328,7.339,10.19,9.692,8.385,3.72,9.75,11.98,6.778,13.735,3.37,13.01,2.899,,0.64,2.61,0.7,7.94296040443427,8.15449077863583,4.42947887805269,5.61392112699437,4.90534144670142,10.9764276370953,5.67651619659838,11.9604997432987,5.40766010013697,7.24404403500489,11.7902725466674,5.17992246642788,2.773,4.15932332626862,7.36350399590682,11.923,6.40705047994451,7.98,6.27045861481899,6.27045861481899,11.0486408485096,22.5,0.72,3.20803462418705,10.6037329814681,8.1335783770698,11.9713915209501,6.40705047994451,6.27045861481899,5.95687090546868
7,1998,7.44483800312432,7.939,4.4821582334481,16.117,20.047,11.7008890539488,12.65,9.4,7.68,5.52,10.0,3.212,9.32,1.06,2.44,2.89,12.2,1.186,7.65,23.596,14.0,14.31,2.122,10.15,12.4,5.371,1.4,20.86,5.72,8.28,9.01896674124502,6.316,7.31,3.24,4.1,7.649,3.283,19.962,15.0,4.663,13.056,5.33,10.4032724649228,6.23,3.3,6.45,9.79,27.743,5.04,6.298,26.856,3.36869905690853,6.78722370822624,3.53966144543137,12.0605217077723,10.6900733785318,4.358,8.03,11.2436019183292,5.794,9.52,3.451,10.4933367866371,5.73107632537531,13.21,4.767,12.07,17.098,14.53,8.2,4.444,9.738,3.562,8.001,12.23,2.621,7.74,11.705,4.58,4.02,4.96904602724863,11.39,7.16,8.93,6.27926046368062,5.93937263889746,4.37066267606451,3.8561540067947,5.46,4.59582528563418,7.511,7.7,10.366,8.185,3.07,10.75,12.12,6.933,13.823,4.08,13.13,2.933,,0.712,6.96,0.7,8.3456962310927,8.4977341723394,4.51924491437241,5.85272127823499,5.16654997997279,11.0976867864649,5.92375620795378,12.1180993744887,4.88616091663988,7.21634202546076,11.6300929599146,5.16598988948636,2.965,4.25284799690725,7.39733030545733,11.843,6.54089276388778,7.1,6.31043983203983,6.31043983203983,10.8864802270966,23.246,0.708,3.37410706076278,11.4669864060738,8.51182148926301,12.1306240643218,6.54089276388778,6.31043983203983,6.12830059870769
8,1999,7.5160380375719,7.942,4.70965317261658,16.43,20.84,11.8602953211907,14.05,11.2,6.88,4.7,10.9,3.29,8.65,0.955,2.565,3.081,14.1,1.18,7.45,24.554,12.8,12.84,2.299,11.13,10.61,5.465,1.4,18.182,5.719,7.58,10.4177955397768,5.949,11.16,3.25,4.458,7.556,3.333,20.252,20.06,4.554,13.068,5.9,10.0886793811466,6.26,5.53,8.7,8.85,27.307,5.14,6.305,28.542,3.46054733130835,7.063860583425,3.64657679996707,12.2395318177919,10.5924928147922,4.645,7.95,10.48993023661,5.904,11.58,3.71,10.1940293288947,5.99911063114761,11.69,4.718,11.98,17.68,13.8,10.1,4.477,9.536,3.763,8.079,12.14,2.578,13.95,11.78,6.25,3.85,5.1311909538029,13.56,7.2,6.93,6.56344934767994,6.18781723435761,4.4641266664437,3.85597807938784,6.36,4.73162420566164,7.68,5.8,11.162,8.111,2.18,11.18,11.68,6.892,13.755,4.68,13.46,2.991,,0.729,6.34,0.7,9.10793285178287,9.44359678707057,4.62753367630114,6.05593419394263,5.40952132671307,11.4013986420956,6.1321844036675,12.4887671594203,4.55656656304528,7.1674717562227,11.6738511559717,5.22641763285911,3.158,4.29133462105863,7.11574445079937,11.748,6.68232571615865,7.3,6.44201044310495,6.44201044310495,10.8472737954518,23.915,0.735,3.46456650795067,11.897433427835,9.49722179025156,12.5043847503098,6.68232571615865,6.44201044310495,6.27169512240748
9,2000,7.4709109070127,7.942,4.76767886576912,16.562,19.028,12.3460923778058,15.0,11.023,6.29,4.69,11.78,3.285,6.59,0.868,2.721,3.27,16.22,1.145,7.238,25.483,12.169,10.808,2.439,10.894,9.35,5.554,1.65,15.88,5.675,6.83,12.4122026945086,5.391,10.49,3.26,4.948,7.516,3.356,19.913,20.52,4.34,12.989,5.08,9.65044100060392,5.45,4.77,8.76,7.92,27.176,4.48,6.43,29.77,3.41672632904063,7.14371361217553,3.55077937442137,10.8572056925952,9.76947941846535,4.8,8.98,9.50552941927143,5.954,13.36,3.495,9.8248399441962,5.99560102006256,11.13,4.712,10.22,18.016,10.82,10.46,4.612,9.519,3.786,8.115,11.34,2.615,15.32,11.909,4.92,3.882,5.19500353976552,16.06,8.448,6.56,6.52619456912234,6.15638560316936,4.47459313775502,3.72347306666149,6.08,4.80785490323689,7.85,4.32,11.691,8.155,1.94,11.1,10.83,6.823,13.7,4.75,12.75,2.987,,0.75,4.06,0.8,9.18176963156649,9.46653475675848,4.69570531583131,5.98865958679971,5.26067626279839,11.901020463478,6.05448731196624,13.0909602424713,4.27506877154557,6.76211423439123,11.4960662563827,5.27619695191887,3.143,4.38018022824896,6.53364164649653,11.628,6.8091812289155,6.96,6.43749130618957,6.43749130618957,10.6256568901427,24.616,0.782,3.4203448916628,11.1599565918131,9.54993385959648,13.1095828628791,6.8091812289155,6.43749130618957,6.13749808215689
10,2001,7.34715131821916,7.942,4.69261930197616,16.597,18.575,12.2280635677478,17.32,10.848,6.75,4.01,10.91,3.239,6.18,0.763,2.78,3.617,19.92,1.176,6.87,26.489,11.519,9.07,2.622,10.65,9.85,5.643,1.9,18.54,5.713,7.22,13.2345834018288,5.082,10.39,3.8,5.369,7.46,3.366,19.912,15.04,4.307,13.278,6.05,9.27999825716979,4.08,4.04,8.13,7.77,27.063,4.16,7.26,27.3,3.8422291633314,7.28946332733586,3.94589299518219,10.1968680825599,9.08408486394731,4.25,9.26,8.44743068181526,6.009,13.13,3.126,9.20584549390388,5.89882923597473,10.29,4.703,8.61,18.008,11.16,9.632,4.615,9.417,3.246,8.237,10.76,2.752,13.21,11.8,5.09,4.0,5.11802969069416,15.82,9.756,5.67,6.70451533853022,6.29572843779452,4.46316356130383,3.58693349457478,6.08,4.85443475445669,8.022,3.68,12.345,8.352,1.87,11.81,9.6,6.7,14.7,5.02,10.43,2.972,,0.78,3.7,0.8,8.76946723137254,9.06880628280534,4.72624912007398,6.1204700450621,5.4337363406588,11.9546612995801,6.19780035525938,13.1439487038574,4.98214773125582,6.6266190579961,11.6756735147254,5.26263920638636,3.159,4.47520958347917,6.37743880515784,11.686,6.96106792818764,6.96,6.33353617262116,6.33353617262116,10.6739800285674,25.334,0.772,3.85122500128607,10.7734048515658,9.16034030297546,13.0859423449534,6.96106792818764,6.33353617262116,6.2284413598605
11,2002,7.30809987968472,7.935,4.47071610263136,16.317,17.895,12.2477503783721,19.59,10.651,6.38,4.85,10.04,3.202,6.91,0.69,2.91,3.968,18.11,1.187,9.05,27.432,10.832,10.04,2.603,10.64,10.32,5.734,1.85,21.308,5.745,7.66,13.7599155395559,5.351,10.17,4.24,5.726,6.715,3.265,19.629,14.48,4.294,13.452,6.4,9.34778819101341,3.31,3.34,7.28,8.48,27.036,4.27,6.78,25.9,4.15818361624952,7.56814644531713,4.24539043358147,9.6858897511848,9.09482251561735,4.824,10.01,8.69958498779998,6.034,10.03,3.045,9.55343655519591,5.86953218538073,10.42,4.773,8.7,17.451,12.59,8.732,4.55,9.936,3.28,8.316,10.35,2.753,11.39,11.81,7.28,4.02,5.09508986532924,15.05,11.059,5.61,6.94466522155834,6.48277071946398,4.44255540715288,3.34649774778794,6.6,4.9327993478348,8.202,4.22,12.8,8.65,2.99,12.89,9.21,6.667,15.3,5.39,9.33,3.029,,0.856,3.05,1.1,8.97982665486037,9.40974132920608,4.81980069563934,6.27999424209444,5.62391714176712,12.1015285917271,6.37217622622089,13.2487080058609,5.97420278593833,7.13423496004972,11.6046051983576,5.21451428569436,3.122,4.56074261855178,6.76675165502645,11.71,7.13479366839347,6.2,6.22655046405753,6.22655046405753,10.6485923477971,25.855,0.742,4.17180588411581,10.5589578077077,9.52036351390665,13.1503039755643,7.13479366839347,6.22655046405753,6.46726377016329
12,2003,7.26489854438636,7.929,4.37286435174387,16.34,16.989,12.2091494278513,15.36,10.463,5.93,4.78,9.17,3.281,7.68,0.752,2.78,4.32,13.73,1.169,10.84,28.416,10.149,10.363,2.653,11.17,11.0,5.826,1.8,23.8,5.766,7.57,13.0049796734437,5.678,9.77,4.58,6.119,5.898,3.098,19.908,13.22,4.562,13.752,6.65,9.45760706086954,2.33,4.15,7.78,9.78,26.876,5.4,6.94,23.72,4.4083309371018,7.56192782880094,4.46598066207608,9.51989044991397,9.11424360799184,5.66,10.91,9.03121223542141,6.013,11.29,3.038,9.66233844386463,5.7402450073424,10.47,4.74,8.31,17.151,11.51,7.736,4.678,9.877,3.363,8.348,9.84,2.81,9.703,11.532,7.86,5.3,5.05851049891897,13.92,12.196,5.79,7.07007811246383,6.57481193376395,4.41630098685046,3.18989946007987,6.66,4.96538036329232,8.368,4.48,11.529,8.94,4.0,13.51,8.87,6.576,14.5,5.25,8.78,2.955,,0.91,3.35,1.3,8.8090224337796,9.26998266519787,4.9040316677103,6.38155438973582,5.86069933439422,11.8245728603938,6.48746092892817,12.8783856729531,6.15586983202168,7.26115058177657,11.9639654919372,5.19036913209791,3.138,4.4713332834636,6.85013430199118,11.714,7.27729852330109,6.9,6.16450403542903,6.16450403542903,10.9312954066505,26.323,0.691,4.42500665810509,10.3010232421059,9.39423476278048,12.8025733452592,7.27729852330109,6.16450403542903,6.5736754949771
13,2004,7.06327006574482,7.926,4.30641264330599,16.187,16.31,11.2353082915185,13.52,10.3,5.4,5.97,7.99,3.19,7.36,0.796,3.508,4.288,12.04,1.101,10.2,29.293,9.436,10.601,2.615,10.07,9.57,5.92,2.49,21.739,5.704,7.19,12.9263424821816,5.876,10.16,4.49,6.128,5.058,2.987,19.925,13.72,4.57,13.524,6.44,8.74547939941597,1.85,4.77,8.3,10.73,26.812,5.2,6.3,17.65,4.40055337202312,7.53105500927996,4.41937677304494,9.19004553061668,9.08778486703448,5.0,10.32,9.29741400398232,5.906,10.25,2.799,9.88344273928093,5.57185991804741,10.36,4.7,8.91,17.144,12.62,6.757,4.814,9.821,3.355,8.253,10.63,2.97,7.7,11.281,6.74,5.99,4.9323832266894,13.66,13.472,5.83,6.96120016433222,6.46214765890632,4.31371090162626,3.01828866128319,7.3,4.89456613487275,8.535,4.49,10.3,8.708,4.03,13.03,7.87,6.573,14.622,4.73,8.4,2.915,,1.006,3.42,1.7,8.35433447932303,8.75142856122775,4.87249338202972,6.2766196248087,5.68373655990411,10.7133836949844,6.38759568502484,11.559489600548,5.7048553496967,7.18075910768121,11.7467289198363,5.11587389998072,3.092,4.3088759596163,6.65735054853389,11.643,7.39233331353557,6.8,6.01581140300012,6.01581140300012,10.6049549102233,26.754,0.637,4.41771774575436,10.0290002353324,8.87930425243832,11.4733348106103,7.39233331353557,6.01581140300012,6.45327673430773
14,2005,6.8784969981739,7.925,4.33538437217796,16.173,15.97,11.0601119508797,11.51,10.137,5.04,5.68,7.26,3.244,8.44,0.877,4.0,4.25,10.08,1.052,10.2,30.213,8.742,10.91,2.597,10.55,9.08,6.015,3.1,19.865,5.684,6.76,12.0617678832545,5.806,9.34,4.52,6.193,4.4,2.95,19.8,11.06,4.583,13.481,6.75,8.5639092754174,1.95,5.48,7.93,11.17,26.815,4.83,6.59,15.27,4.47748878031509,7.5388289624095,4.46644863845637,8.58083755123785,8.73570569710677,3.78,11.05,9.13423517922006,5.933,8.03,2.5,9.62623640330027,5.237807758594,8.38,3.89,8.88,16.91,13.81,5.814,4.999,9.786,3.27,8.214,10.07,3.06,7.0,11.075,5.58,4.91,4.77807874384882,12.6,14.6,7.19,6.93121116023676,6.41381626816675,4.21238630546333,2.95353373763947,7.94,4.77566520886493,8.7,4.34,11.81,8.587,2.55,11.34,7.73,6.605,14.8,4.45,8.13,2.757,,1.071,3.48,1.452,8.03606364634889,8.23247832735355,4.82920244415618,6.26443761821948,5.60708310379775,10.8365577516865,6.38883274572495,11.7650620470164,5.25623546100158,6.82125162624386,11.4035734146254,5.09421358196799,3.049,3.80949002732438,6.37608231162621,11.632,7.49790840031243,7.22,5.91413568353361,5.91413568353362,10.3038914205906,27.246,0.63,4.4962107113092,9.36639691179075,8.33716765827211,11.7031547092525,7.49790840031243,5.91413568353362,6.37390126974784
